date,district_id,dengue_cases,malaria_cases,diarrhea_cases,total_fever_cases
2025-01-05,RJ-JP,0,0,28,62
2025-01-06,RJ-JP,0,0,74,64
2025-01-07,RJ-JP,0,0,16,52
2025-01-08,RJ-JP,0,0,31,65
2025-01-09,RJ-JP,0,0,33,66
2025-01-10,RJ-JP,0,0,47,54
2025-01-11,RJ-JP,0,0,38,69
2025-01-12,RJ-JP,0,0,35,72
2025-01-13,RJ-JP,0,0,25,70
2025-01-14,RJ-JP,0,0,82,59
2025-01-15,RJ-JP,0,0,19,56
2025-01-16,RJ-JP,0,0,24,68
2025-01-17,RJ-JP,0,0,25,83
2025-01-18,RJ-JP,0,0,34,66
2025-01-19,RJ-JP,0,0,29,78
2025-01-20,RJ-JP,0,0,22,54
2025-01-21,RJ-JP,0,0,46,83
2025-01-22,RJ-JP,0,0,31,67
2025-01-23,RJ-JP,0,0,67,66
2025-01-24,RJ-JP,0,0,41,72
2025-01-25,RJ-JP,0,0,34,79
2025-01-26,RJ-JP,0,0,41,61
2025-01-27,RJ-JP,0,0,25,66
2025-01-28,RJ-JP,0,0,34,59
2025-01-29,RJ-JP,0,0,20,85
2025-01-30,RJ-JP,0,0,30,52
2025-01-31,RJ-JP,0,0,14,65
2025-02-01,RJ-JP,0,0,27,69
2025-02-02,RJ-JP,0,0,35,59
2025-02-03,RJ-JP,0,0,13,71
2025-02-04,RJ-JP,0,0,27,67
2025-02-05,RJ-JP,0,0,33,76
2025-02-06,RJ-JP,0,0,21,57
2025-02-07,RJ-JP,0,0,19,66
2025-02-08,RJ-JP,0,0,41,68
2025-02-09,RJ-JP,0,0,26,77
2025-02-10,RJ-JP,0,0,49,64
2025-02-11,RJ-JP,0,0,52,58
2025-02-12,RJ-JP,0,0,34,71
2025-02-13,RJ-JP,0,0,18,61
2025-02-14,RJ-JP,0,0,74,62
2025-02-15,RJ-JP,0,0,20,67
2025-02-16,RJ-JP,0,0,31,58
2025-02-17,RJ-JP,0,0,38,78
2025-02-18,RJ-JP,0,0,57,66
2025-02-19,RJ-JP,0,0,18,70
2025-02-20,RJ-JP,0,0,30,74
2025-02-21,RJ-JP,0,0,44,67
2025-02-22,RJ-JP,0,0,25,73
2025-02-23,RJ-JP,0,0,32,72
2025-02-24,RJ-JP,0,0,33,53
2025-02-25,RJ-JP,0,0,40,65
2025-02-26,RJ-JP,0,0,38,72
2025-02-27,RJ-JP,0,0,20,69
2025-02-28,RJ-JP,0,0,21,66
2025-03-01,RJ-JP,1,0,126,59
2025-03-02,RJ-JP,1,0,62,83
2025-03-03,RJ-JP,0,0,159,75
2025-03-04,RJ-JP,1,0,31,69
2025-03-05,RJ-JP,0,0,68,56
2025-03-06,RJ-JP,0,0,86,57
2025-03-07,RJ-JP,0,0,21,75
2025-03-08,RJ-JP,0,0,47,72
2025-03-09,RJ-JP,0,0,83,57
2025-03-10,RJ-JP,0,0,91,62
2025-03-11,RJ-JP,0,0,90,76
2025-03-12,RJ-JP,0,0,151,55
2025-03-13,RJ-JP,0,0,72,68
2025-03-14,RJ-JP,0,0,87,68
2025-03-15,RJ-JP,0,0,129,75
2025-03-16,RJ-JP,0,0,57,64
2025-03-17,RJ-JP,0,0,83,66
2025-03-18,RJ-JP,0,0,26,74
2025-03-19,RJ-JP,0,0,93,67
2025-03-20,RJ-JP,0,0,161,60
2025-03-21,RJ-JP,0,0,80,68
2025-03-22,RJ-JP,0,0,120,79
2025-03-23,RJ-JP,0,0,178,52
2025-03-24,RJ-JP,0,0,95,66
2025-03-25,RJ-JP,0,0,87,72
2025-03-26,RJ-JP,0,0,77,58
2025-03-27,RJ-JP,0,0,87,71
2025-03-28,RJ-JP,0,0,103,75
2025-03-29,RJ-JP,0,0,66,67
2025-03-30,RJ-JP,0,0,126,72
2025-03-31,RJ-JP,0,0,71,53
2025-04-01,RJ-JP,0,0,29,66
2025-04-02,RJ-JP,0,0,177,60
2025-04-03,RJ-JP,0,0,99,68
2025-04-04,RJ-JP,0,0,63,72
2025-04-05,RJ-JP,0,0,211,71
2025-04-06,RJ-JP,0,0,122,76
2025-04-07,RJ-JP,0,0,70,73
2025-04-08,RJ-JP,0,0,84,71
2025-04-09,RJ-JP,0,0,30,73
2025-04-10,RJ-JP,0,0,58,70
2025-04-11,RJ-JP,0,0,92,78
2025-04-12,RJ-JP,0,0,95,67
2025-04-13,RJ-JP,0,0,99,52
2025-04-14,RJ-JP,0,0,80,64
2025-04-15,RJ-JP,0,0,167,59
2025-04-16,RJ-JP,0,0,173,68
2025-04-17,RJ-JP,0,0,60,71
2025-04-18,RJ-JP,0,0,42,75
2025-04-19,RJ-JP,0,0,106,71
2025-04-20,RJ-JP,0,0,107,63
2025-04-21,RJ-JP,0,0,93,90
2025-04-22,RJ-JP,0,0,130,64
2025-04-23,RJ-JP,0,0,202,69
2025-04-24,RJ-JP,0,0,137,81
2025-04-25,RJ-JP,0,0,74,64
2025-04-26,RJ-JP,0,0,94,57
2025-04-27,RJ-JP,0,0,92,65
2025-04-28,RJ-JP,0,0,58,59
2025-04-29,RJ-JP,0,0,76,62
2025-04-30,RJ-JP,0,0,89,64
2025-05-01,RJ-JP,0,0,63,67
2025-05-02,RJ-JP,0,0,58,62
2025-05-03,RJ-JP,0,0,210,69
2025-05-04,RJ-JP,0,0,94,70
2025-05-05,RJ-JP,0,0,194,66
2025-05-06,RJ-JP,0,0,34,66
2025-05-07,RJ-JP,0,0,122,76
2025-05-08,RJ-JP,0,0,152,79
2025-05-09,RJ-JP,0,0,66,59
2025-05-10,RJ-JP,0,0,54,68
2025-05-11,RJ-JP,0,0,154,60
2025-05-12,RJ-JP,0,0,114,72
2025-05-13,RJ-JP,0,0,99,63
2025-05-14,RJ-JP,0,0,117,64
2025-05-15,RJ-JP,0,0,148,73
2025-05-16,RJ-JP,0,0,88,60
