date,district_id,medicine_id,consumption
2025-01-05,RJ-JP,PARA-500,400
2025-01-05,RJ-JP,IV-RL,21
2025-01-05,RJ-JP,NS1-KIT,0
2025-01-05,RJ-JP,ORS-PKT,80
2025-01-05,RJ-JP,ACT-TAB,0
2025-01-06,RJ-JP,PARA-500,380
2025-01-06,RJ-JP,IV-RL,63
2025-01-06,RJ-JP,NS1-KIT,0
2025-01-06,RJ-JP,ORS-PKT,227
2025-01-06,RJ-JP,ACT-TAB,0
2025-01-07,RJ-JP,PARA-500,350
2025-01-07,RJ-JP,IV-RL,14
2025-01-07,RJ-JP,NS1-KIT,0
2025-01-07,RJ-JP,ORS-PKT,41
2025-01-07,RJ-JP,ACT-TAB,0
2025-01-08,RJ-JP,PARA-500,438
2025-01-08,RJ-JP,IV-RL,32
2025-01-08,RJ-JP,NS1-KIT,0
2025-01-08,RJ-JP,ORS-PKT,100
2025-01-08,RJ-JP,ACT-TAB,0
2025-01-09,RJ-JP,PARA-500,396
2025-01-09,RJ-JP,IV-RL,25
2025-01-09,RJ-JP,NS1-KIT,0
2025-01-09,RJ-JP,ORS-PKT,116
2025-01-09,RJ-JP,ACT-TAB,0
2025-01-10,RJ-JP,PARA-500,328
2025-01-10,RJ-JP,IV-RL,48
2025-01-10,RJ-JP,NS1-KIT,0
2025-01-10,RJ-JP,ORS-PKT,147
2025-01-10,RJ-JP,ACT-TAB,0
2025-01-11,RJ-JP,PARA-500,341
2025-01-11,RJ-JP,IV-RL,28
2025-01-11,RJ-JP,NS1-KIT,0
2025-01-11,RJ-JP,ORS-PKT,114
2025-01-11,RJ-JP,ACT-TAB,0
2025-01-12,RJ-JP,PARA-500,490
2025-01-12,RJ-JP,IV-RL,35
2025-01-12,RJ-JP,NS1-KIT,0
2025-01-12,RJ-JP,ORS-PKT,107
2025-01-12,RJ-JP,ACT-TAB,0
2025-01-13,RJ-JP,PARA-500,432
2025-01-13,RJ-JP,IV-RL,18
2025-01-13,RJ-JP,NS1-KIT,0
2025-01-13,RJ-JP,ORS-PKT,83
2025-01-13,RJ-JP,ACT-TAB,0
2025-01-14,RJ-JP,PARA-500,364
2025-01-14,RJ-JP,IV-RL,79
2025-01-14,RJ-JP,NS1-KIT,0
2025-01-14,RJ-JP,ORS-PKT,289
2025-01-14,RJ-JP,ACT-TAB,0
2025-01-15,RJ-JP,PARA-500,313
2025-01-15,RJ-JP,IV-RL,17
2025-01-15,RJ-JP,NS1-KIT,0
2025-01-15,RJ-JP,ORS-PKT,50
2025-01-15,RJ-JP,ACT-TAB,0
2025-01-16,RJ-JP,PARA-500,352
2025-01-16,RJ-JP,IV-RL,25
2025-01-16,RJ-JP,NS1-KIT,0
2025-01-16,RJ-JP,ORS-PKT,62
2025-01-16,RJ-JP,ACT-TAB,0
2025-01-17,RJ-JP,PARA-500,436
2025-01-17,RJ-JP,IV-RL,21
2025-01-17,RJ-JP,NS1-KIT,0
2025-01-17,RJ-JP,ORS-PKT,78
2025-01-17,RJ-JP,ACT-TAB,0
2025-01-18,RJ-JP,PARA-500,421
2025-01-18,RJ-JP,IV-RL,27
2025-01-18,RJ-JP,NS1-KIT,0
2025-01-18,RJ-JP,ORS-PKT,120
2025-01-18,RJ-JP,ACT-TAB,0
2025-01-19,RJ-JP,PARA-500,507
2025-01-19,RJ-JP,IV-RL,27
2025-01-19,RJ-JP,NS1-KIT,0
2025-01-19,RJ-JP,ORS-PKT,81
2025-01-19,RJ-JP,ACT-TAB,0
2025-01-20,RJ-JP,PARA-500,319
2025-01-20,RJ-JP,IV-RL,21
2025-01-20,RJ-JP,NS1-KIT,0
2025-01-20,RJ-JP,ORS-PKT,79
2025-01-20,RJ-JP,ACT-TAB,0
2025-01-21,RJ-JP,PARA-500,519
2025-01-21,RJ-JP,IV-RL,34
2025-01-21,RJ-JP,NS1-KIT,0
2025-01-21,RJ-JP,ORS-PKT,161
2025-01-21,RJ-JP,ACT-TAB,0
2025-01-22,RJ-JP,PARA-500,333
2025-01-22,RJ-JP,IV-RL,23
2025-01-22,RJ-JP,NS1-KIT,0
2025-01-22,RJ-JP,ORS-PKT,77
2025-01-22,RJ-JP,ACT-TAB,0
2025-01-23,RJ-JP,PARA-500,376
2025-01-23,RJ-JP,IV-RL,66
2025-01-23,RJ-JP,NS1-KIT,0
2025-01-23,RJ-JP,ORS-PKT,240
2025-01-23,RJ-JP,ACT-TAB,0
2025-01-24,RJ-JP,PARA-500,418
2025-01-24,RJ-JP,IV-RL,30
2025-01-24,RJ-JP,NS1-KIT,0
2025-01-24,RJ-JP,ORS-PKT,132
2025-01-24,RJ-JP,ACT-TAB,0
2025-01-25,RJ-JP,PARA-500,378
2025-01-25,RJ-JP,IV-RL,28
2025-01-25,RJ-JP,NS1-KIT,0
2025-01-25,RJ-JP,ORS-PKT,90
2025-01-25,RJ-JP,ACT-TAB,0
2025-01-26,RJ-JP,PARA-500,315
2025-01-26,RJ-JP,IV-RL,39
2025-01-26,RJ-JP,NS1-KIT,0
2025-01-26,RJ-JP,ORS-PKT,116
2025-01-26,RJ-JP,ACT-TAB,0
2025-01-27,RJ-JP,PARA-500,348
2025-01-27,RJ-JP,IV-RL,21
2025-01-27,RJ-JP,NS1-KIT,0
2025-01-27,RJ-JP,ORS-PKT,81
2025-01-27,RJ-JP,ACT-TAB,0
2025-01-28,RJ-JP,PARA-500,384
2025-01-28,RJ-JP,IV-RL,24
2025-01-28,RJ-JP,NS1-KIT,0
2025-01-28,RJ-JP,ORS-PKT,116
2025-01-28,RJ-JP,ACT-TAB,0
2025-01-29,RJ-JP,PARA-500,470
2025-01-29,RJ-JP,IV-RL,16
2025-01-29,RJ-JP,NS1-KIT,0
2025-01-29,RJ-JP,ORS-PKT,60
2025-01-29,RJ-JP,ACT-TAB,0
2025-01-30,RJ-JP,PARA-500,250
2025-01-30,RJ-JP,IV-RL,28
2025-01-30,RJ-JP,NS1-KIT,0
2025-01-30,RJ-JP,ORS-PKT,92
2025-01-30,RJ-JP,ACT-TAB,0
2025-01-31,RJ-JP,PARA-500,441
2025-01-31,RJ-JP,IV-RL,12
2025-01-31,RJ-JP,NS1-KIT,0
2025-01-31,RJ-JP,ORS-PKT,45
2025-01-31,RJ-JP,ACT-TAB,0
2025-02-01,RJ-JP,PARA-500,393
2025-02-01,RJ-JP,IV-RL,23
2025-02-01,RJ-JP,NS1-KIT,0
2025-02-01,RJ-JP,ORS-PKT,78
2025-02-01,RJ-JP,ACT-TAB,0
2025-02-02,RJ-JP,PARA-500,331
2025-02-02,RJ-JP,IV-RL,36
2025-02-02,RJ-JP,NS1-KIT,0
2025-02-02,RJ-JP,ORS-PKT,99
2025-02-02,RJ-JP,ACT-TAB,0
2025-02-03,RJ-JP,PARA-500,389
2025-02-03,RJ-JP,IV-RL,13
2025-02-03,RJ-JP,NS1-KIT,0
2025-02-03,RJ-JP,ORS-PKT,37
2025-02-03,RJ-JP,ACT-TAB,0
2025-02-04,RJ-JP,PARA-500,332
2025-02-04,RJ-JP,IV-RL,25
2025-02-04,RJ-JP,NS1-KIT,0
2025-02-04,RJ-JP,ORS-PKT,95
2025-02-04,RJ-JP,ACT-TAB,0
2025-02-05,RJ-JP,PARA-500,430
2025-02-05,RJ-JP,IV-RL,27
2025-02-05,RJ-JP,NS1-KIT,0
2025-02-05,RJ-JP,ORS-PKT,104
2025-02-05,RJ-JP,ACT-TAB,0
2025-02-06,RJ-JP,PARA-500,319
2025-02-06,RJ-JP,IV-RL,19
2025-02-06,RJ-JP,NS1-KIT,0
2025-02-06,RJ-JP,ORS-PKT,66
2025-02-06,RJ-JP,ACT-TAB,0
2025-02-07,RJ-JP,PARA-500,374
2025-02-07,RJ-JP,IV-RL,17
2025-02-07,RJ-JP,NS1-KIT,0
2025-02-07,RJ-JP,ORS-PKT,50
2025-02-07,RJ-JP,ACT-TAB,0
2025-02-08,RJ-JP,PARA-500,419
2025-02-08,RJ-JP,IV-RL,37
2025-02-08,RJ-JP,NS1-KIT,0
2025-02-08,RJ-JP,ORS-PKT,138
2025-02-08,RJ-JP,ACT-TAB,0
2025-02-09,RJ-JP,PARA-500,386
2025-02-09,RJ-JP,IV-RL,27
2025-02-09,RJ-JP,NS1-KIT,0
2025-02-09,RJ-JP,ORS-PKT,63
2025-02-09,RJ-JP,ACT-TAB,0
2025-02-10,RJ-JP,PARA-500,403
2025-02-10,RJ-JP,IV-RL,39
2025-02-10,RJ-JP,NS1-KIT,0
2025-02-10,RJ-JP,ORS-PKT,121
2025-02-10,RJ-JP,ACT-TAB,0
2025-02-11,RJ-JP,PARA-500,366
2025-02-11,RJ-JP,IV-RL,55
2025-02-11,RJ-JP,NS1-KIT,0
2025-02-11,RJ-JP,ORS-PKT,145
2025-02-11,RJ-JP,ACT-TAB,0
2025-02-12,RJ-JP,PARA-500,357
2025-02-12,RJ-JP,IV-RL,25
2025-02-12,RJ-JP,NS1-KIT,0
2025-02-12,RJ-JP,ORS-PKT,86
2025-02-12,RJ-JP,ACT-TAB,0
2025-02-13,RJ-JP,PARA-500,334
2025-02-13,RJ-JP,IV-RL,16
2025-02-13,RJ-JP,NS1-KIT,0
2025-02-13,RJ-JP,ORS-PKT,47
2025-02-13,RJ-JP,ACT-TAB,0
2025-02-14,RJ-JP,PARA-500,301
2025-02-14,RJ-JP,IV-RL,60
2025-02-14,RJ-JP,NS1-KIT,0
2025-02-14,RJ-JP,ORS-PKT,258
2025-02-14,RJ-JP,ACT-TAB,0
2025-02-15,RJ-JP,PARA-500,429
2025-02-15,RJ-JP,IV-RL,18
2025-02-15,RJ-JP,NS1-KIT,0
2025-02-15,RJ-JP,ORS-PKT,65
2025-02-15,RJ-JP,ACT-TAB,0
2025-02-16,RJ-JP,PARA-500,312
2025-02-16,RJ-JP,IV-RL,26
2025-02-16,RJ-JP,NS1-KIT,0
2025-02-16,RJ-JP,ORS-PKT,82
2025-02-16,RJ-JP,ACT-TAB,0
2025-02-17,RJ-JP,PARA-500,511
2025-02-17,RJ-JP,IV-RL,38
2025-02-17,RJ-JP,NS1-KIT,0
2025-02-17,RJ-JP,ORS-PKT,117
2025-02-17,RJ-JP,ACT-TAB,0
2025-02-18,RJ-JP,PARA-500,439
2025-02-18,RJ-JP,IV-RL,53
2025-02-18,RJ-JP,NS1-KIT,0
2025-02-18,RJ-JP,ORS-PKT,151
2025-02-18,RJ-JP,ACT-TAB,0
2025-02-19,RJ-JP,PARA-500,396
2025-02-19,RJ-JP,IV-RL,15
2025-02-19,RJ-JP,NS1-KIT,0
2025-02-19,RJ-JP,ORS-PKT,51
2025-02-19,RJ-JP,ACT-TAB,0
2025-02-20,RJ-JP,PARA-500,422
2025-02-20,RJ-JP,IV-RL,32
2025-02-20,RJ-JP,NS1-KIT,0
2025-02-20,RJ-JP,ORS-PKT,99
2025-02-20,RJ-JP,ACT-TAB,0
2025-02-21,RJ-JP,PARA-500,416
2025-02-21,RJ-JP,IV-RL,37
2025-02-21,RJ-JP,NS1-KIT,0
2025-02-21,RJ-JP,ORS-PKT,131
2025-02-21,RJ-JP,ACT-TAB,0
2025-02-22,RJ-JP,PARA-500,403
2025-02-22,RJ-JP,IV-RL,23
2025-02-22,RJ-JP,NS1-KIT,0
2025-02-22,RJ-JP,ORS-PKT,65
2025-02-22,RJ-JP,ACT-TAB,0
2025-02-23,RJ-JP,PARA-500,355
2025-02-23,RJ-JP,IV-RL,31
2025-02-23,RJ-JP,NS1-KIT,0
2025-02-23,RJ-JP,ORS-PKT,111
2025-02-23,RJ-JP,ACT-TAB,0
2025-02-24,RJ-JP,PARA-500,314
2025-02-24,RJ-JP,IV-RL,28
2025-02-24,RJ-JP,NS1-KIT,0
2025-02-24,RJ-JP,ORS-PKT,117
2025-02-24,RJ-JP,ACT-TAB,0
2025-02-25,RJ-JP,PARA-500,410
2025-02-25,RJ-JP,IV-RL,38
2025-02-25,RJ-JP,NS1-KIT,0
2025-02-25,RJ-JP,ORS-PKT,145
2025-02-25,RJ-JP,ACT-TAB,0
2025-02-26,RJ-JP,PARA-500,353
2025-02-26,RJ-JP,IV-RL,33
2025-02-26,RJ-JP,NS1-KIT,0
2025-02-26,RJ-JP,ORS-PKT,135
2025-02-26,RJ-JP,ACT-TAB,0
2025-02-27,RJ-JP,PARA-500,465
2025-02-27,RJ-JP,IV-RL,16
2025-02-27,RJ-JP,NS1-KIT,0
2025-02-27,RJ-JP,ORS-PKT,55
2025-02-27,RJ-JP,ACT-TAB,0
2025-02-28,RJ-JP,PARA-500,401
2025-02-28,RJ-JP,IV-RL,16
2025-02-28,RJ-JP,NS1-KIT,0
2025-02-28,RJ-JP,ORS-PKT,77
2025-02-28,RJ-JP,ACT-TAB,0
2025-03-01,RJ-JP,PARA-500,373
2025-03-01,RJ-JP,IV-RL,98
2025-03-01,RJ-JP,NS1-KIT,0
2025-03-01,RJ-JP,ORS-PKT,386
2025-03-01,RJ-JP,ACT-TAB,0
2025-03-02,RJ-JP,PARA-500,500
2025-03-02,RJ-JP,IV-RL,52
2025-03-02,RJ-JP,NS1-KIT,0
2025-03-02,RJ-JP,ORS-PKT,163
2025-03-02,RJ-JP,ACT-TAB,0
2025-03-03,RJ-JP,PARA-500,378
2025-03-03,RJ-JP,IV-RL,136
2025-03-03,RJ-JP,NS1-KIT,0
2025-03-03,RJ-JP,ORS-PKT,550
2025-03-03,RJ-JP,ACT-TAB,0
2025-03-04,RJ-JP,PARA-500,369
2025-03-04,RJ-JP,IV-RL,25
2025-03-04,RJ-JP,NS1-KIT,0
2025-03-04,RJ-JP,ORS-PKT,109
2025-03-04,RJ-JP,ACT-TAB,0
2025-03-05,RJ-JP,PARA-500,368
2025-03-05,RJ-JP,IV-RL,50
2025-03-05,RJ-JP,NS1-KIT,0
2025-03-05,RJ-JP,ORS-PKT,177
2025-03-05,RJ-JP,ACT-TAB,0
2025-03-06,RJ-JP,PARA-500,322
2025-03-06,RJ-JP,IV-RL,89
2025-03-06,RJ-JP,NS1-KIT,0
2025-03-06,RJ-JP,ORS-PKT,312
2025-03-06,RJ-JP,ACT-TAB,0
2025-03-07,RJ-JP,PARA-500,499
2025-03-07,RJ-JP,IV-RL,21
2025-03-07,RJ-JP,NS1-KIT,0
2025-03-07,RJ-JP,ORS-PKT,54
2025-03-07,RJ-JP,ACT-TAB,0
2025-03-08,RJ-JP,PARA-500,478
2025-03-08,RJ-JP,IV-RL,43
2025-03-08,RJ-JP,NS1-KIT,0
2025-03-08,RJ-JP,ORS-PKT,142
2025-03-08,RJ-JP,ACT-TAB,0
2025-03-09,RJ-JP,PARA-500,263
2025-03-09,RJ-JP,IV-RL,61
2025-03-09,RJ-JP,NS1-KIT,0
2025-03-09,RJ-JP,ORS-PKT,264
2025-03-09,RJ-JP,ACT-TAB,0
2025-03-10,RJ-JP,PARA-500,325
2025-03-10,RJ-JP,IV-RL,84
2025-03-10,RJ-JP,NS1-KIT,0
2025-03-10,RJ-JP,ORS-PKT,333
2025-03-10,RJ-JP,ACT-TAB,0
2025-03-11,RJ-JP,PARA-500,406
2025-03-11,RJ-JP,IV-RL,68
2025-03-11,RJ-JP,NS1-KIT,0
