district_id,medicine_id,current_stock,safety_stock,days_until_expiry,last_order_date
RJ-JP,PARA-500,6896,4638,161,2025-12-29
RJ-JP,IV-RL,3729,4638,98,2025-12-14
RJ-JP,NS1-KIT,5397,4638,83,2025-12-07
RJ-JP,ORS-PKT,4883,4638,76,2025-12-21
RJ-JP,ACT-TAB,5009,4638,154,2025-12-17
RJ-JD,PARA-500,2689,2581,140,2025-12-15
RJ-JD,IV-RL,2138,2581,61,2025-12-07
RJ-JD,NS1-KIT,2352,2581,175,2025-12-23
RJ-JD,ORS-PKT,2256,2581,41,2025-12-21
RJ-JD,ACT-TAB,1975,2581,107,2025-12-18
RJ-UD,PARA-500,2777,2147,72,2025-12-07
RJ-UD,IV-RL,1065,2147,141,2025-12-13
RJ-UD,NS1-KIT,3164,2147,93,2025-12-27
RJ-UD,ORS-PKT,2088,2147,57,2025-12-29
RJ-UD,ACT-TAB,1245,2147,90,2025-12-20
RJ-BR,PARA-500,2310,1822,151,2025-12-23
RJ-BR,IV-RL,2352,1822,174,2025-12-23
RJ-BR,NS1-KIT,2487,1822,85,2025-12-24
RJ-BR,ORS-PKT,2687,1822,85,2025-12-08
RJ-BR,ACT-TAB,668,1822,57,2025-12-15
RJ-AJ,PARA-500,1367,1808,50,2025-12-20
RJ-AJ,IV-RL,2677,1808,136,2025-12-11
RJ-AJ,NS1-KIT,1505,1808,108,2025-12-25
RJ-AJ,ORS-PKT,1983,1808,105,2025-12-17
RJ-AJ,ACT-TAB,1544,1808,100,2025-12-27
RJ-AL,PARA-500,3536,2571,57,2025-12-14
RJ-AL,IV-RL,2780,2571,177,2025-12-23
RJ-AL,NS1-KIT,2594,2571,90,2025-12-09
RJ-AL,ORS-PKT,2638,2571,72,2025-12-22
RJ-AL,ACT-TAB,893,2571,115,2025-12-15
RJ-BK,PARA-500,725,1654,144,2025-12-18
RJ-BK,IV-RL,1579,1654,73,2025-12-20
RJ-BK,NS1-KIT,2011,1654,120,2025-12-16
RJ-BK,ORS-PKT,1611,1654,116,2025-12-10
RJ-BK,ACT-TAB,541,1654,151,2025-12-12
RJ-KT,PARA-500,1605,1365,46,2025-12-19
RJ-KT,IV-RL,975,1365,111,2025-12-25
RJ-KT,NS1-KIT,642,1365,41,2025-12-11
RJ-KT,ORS-PKT,1771,1365,67,2025-12-18
RJ-KT,ACT-TAB,1345,1365,149,2025-12-08
RJ-SR,PARA-500,1094,1874,170,2025-12-11
RJ-SR,IV-RL,1626,1874,59,2025-12-22
RJ-SR,NS1-KIT,1479,1874,42,2025-12-22
RJ-SR,ORS-PKT,729,1874,122,2025-12-25
RJ-SR,ACT-TAB,977,1874,147,2025-12-25
RJ-JL,PARA-500,1003,1280,88,2025-12-25
RJ-JL,IV-RL,1734,1280,147,2025-12-18
RJ-JL,NS1-KIT,1191,1280,94,2025-12-07
RJ-JL,ORS-PKT,1607,1280,88,2025-12-18
RJ-JL,ACT-TAB,1019,1280,44,2025-12-13
RJ-NW,PARA-500,1315,2315,128,2025-12-25
RJ-NW,IV-RL,3266,2315,160,2025-12-20
RJ-NW,NS1-KIT,1199,2315,125,2025-12-16
RJ-NW,ORS-PKT,2780,2315,59,2025-12-20
RJ-NW,ACT-TAB,1014,2315,70,2025-12-17
RJ-PT,PARA-500,1205,1426,61,2025-12-11
RJ-PT,IV-RL,1249,1426,143,2025-12-11
RJ-PT,NS1-KIT,1425,1426,140,2025-12-26
RJ-PT,ORS-PKT,740,1426,107,2025-12-13
RJ-PT,ACT-TAB,963,1426,54,2025-12-17
