date,district_id,temperature,rainfall,humidity
2025-01-05,RJ-JP,19.5,0.0,38.6
2025-01-06,RJ-JP,14.7,0.0,43.2
2025-01-07,RJ-JP,22.7,0.0,47.7
2025-01-08,RJ-JP,16.3,0.0,34.7
2025-01-09,RJ-JP,18.7,0.0,20.9
2025-01-10,RJ-JP,20.4,0.0,24.8
2025-01-11,RJ-JP,15.3,0.0,25.9
2025-01-12,RJ-JP,16.1,0.0,46.0
2025-01-13,RJ-JP,16.4,0.0,41.1
2025-01-14,RJ-JP,16.2,0.0,49.5
2025-01-15,RJ-JP,16.2,0.0,58.5
2025-01-16,RJ-JP,16.4,0.3,40.5
2025-01-17,RJ-JP,14.2,0.0,50.9
2025-01-18,RJ-JP,14.0,1.5,45.0
2025-01-19,RJ-JP,20.2,0.0,41.7
2025-01-20,RJ-JP,15.0,0.0,24.2
2025-01-21,RJ-JP,16.6,0.0,50.6
2025-01-22,RJ-JP,14.6,0.0,41.3
2025-01-23,RJ-JP,16.0,0.0,46.1
2025-01-24,RJ-JP,19.7,0.0,48.9
2025-01-25,RJ-JP,15.5,1.0,38.9
2025-01-26,RJ-JP,16.6,0.0,38.1
2025-01-27,RJ-JP,21.5,0.0,31.0
2025-01-28,RJ-JP,17.8,0.0,50.0
2025-01-29,RJ-JP,20.9,0.0,48.0
2025-01-30,RJ-JP,17.9,0.0,55.6
2025-01-31,RJ-JP,16.8,0.0,39.4
2025-02-01,RJ-JP,18.3,0.0,37.0
2025-02-02,RJ-JP,20.7,0.0,40.2
2025-02-03,RJ-JP,22.4,0.0,34.8
2025-02-04,RJ-JP,17.4,0.0,35.7
2025-02-05,RJ-JP,20.7,0.0,43.3
2025-02-06,RJ-JP,22.1,0.4,42.5
2025-02-07,RJ-JP,17.2,0.0,36.3
2025-02-08,RJ-JP,18.9,0.0,42.6
2025-02-09,RJ-JP,10.0,0.0,43.5
2025-02-10,RJ-JP,17.0,0.4,32.8
2025-02-11,RJ-JP,23.7,0.0,41.7
2025-02-12,RJ-JP,17.9,0.0,23.3
2025-02-13,RJ-JP,18.2,0.0,64.6
2025-02-14,RJ-JP,19.4,0.0,37.4
2025-02-15,RJ-JP,17.9,0.3,28.9
2025-02-16,RJ-JP,21.4,0.0,47.5
2025-02-17,RJ-JP,15.6,0.0,53.8
2025-02-18,RJ-JP,19.8,0.0,61.9
2025-02-19,RJ-JP,16.5,0.0,49.2
2025-02-20,RJ-JP,18.3,0.0,35.0
2025-02-21,RJ-JP,18.0,0.0,36.3
2025-02-22,RJ-JP,14.8,0.0,44.7
2025-02-23,RJ-JP,19.9,0.0,38.4
2025-02-24,RJ-JP,15.7,2.1,41.0
2025-02-25,RJ-JP,20.4,0.0,27.7
2025-02-26,RJ-JP,22.1,0.0,65.4
2025-02-27,RJ-JP,18.8,0.0,47.8
2025-02-28,RJ-JP,21.9,2.2,35.7
2025-03-01,RJ-JP,40.5,0.0,52.2
2025-03-02,RJ-JP,39.2,0.0,32.9
2025-03-03,RJ-JP,38.7,0.0,27.8
2025-03-04,RJ-JP,33.2,0.0,46.6
2025-03-05,RJ-JP,35.0,0.0,28.7
2025-03-06,RJ-JP,41.9,0.0,44.1
2025-03-07,RJ-JP,34.5,0.0,41.5
2025-03-08,RJ-JP,34.4,0.5,32.8
2025-03-09,RJ-JP,39.1,0.0,48.3
2025-03-10,RJ-JP,48.9,0.0,40.9
2025-03-11,RJ-JP,40.5,0.0,31.4
2025-03-12,RJ-JP,38.2,0.0,38.6
2025-03-13,RJ-JP,37.1,0.0,47.1
2025-03-14,RJ-JP,37.5,3.3,54.0
2025-03-15,RJ-JP,36.2,0.0,47.8
2025-03-16,RJ-JP,36.2,0.0,48.6
2025-03-17,RJ-JP,40.8,0.0,40.9
2025-03-18,RJ-JP,34.5,0.0,41.5
2025-03-19,RJ-JP,42.2,0.0,40.5
2025-03-20,RJ-JP,42.3,0.0,50.5
2025-03-21,RJ-JP,41.6,0.0,34.0
2025-03-22,RJ-JP,40.1,0.0,78.5
2025-03-23,RJ-JP,43.3,0.0,49.9
2025-03-24,RJ-JP,36.7,0.0,47.6
2025-03-25,RJ-JP,38.7,0.0,31.4
2025-03-26,RJ-JP,47.3,0.0,21.3
2025-03-27,RJ-JP,36.3,0.0,40.8
2025-03-28,RJ-JP,36.1,0.0,50.9
2025-03-29,RJ-JP,44.2,0.0,41.3
2025-03-30,RJ-JP,35.1,0.0,42.2
2025-03-31,RJ-JP,47.6,0.0,58.4
2025-04-01,RJ-JP,29.9,0.0,41.9
2025-04-02,RJ-JP,36.2,0.0,23.3
2025-04-03,RJ-JP,40.0,0.0,48.7
2025-04-04,RJ-JP,36.7,0.0,36.8
2025-04-05,RJ-JP,45.1,0.0,44.0
2025-04-06,RJ-JP,39.5,0.0,56.5
2025-04-07,RJ-JP,31.9,0.0,35.2
2025-04-08,RJ-JP,37.1,0.0,58.7
2025-04-09,RJ-JP,25.0,0.0,29.8
2025-04-10,RJ-JP,30.0,0.0,27.0
2025-04-11,RJ-JP,36.2,0.0,41.3
2025-04-12,RJ-JP,38.2,1.1,65.6
2025-04-13,RJ-JP,37.2,0.0,40.6
2025-04-14,RJ-JP,38.5,0.0,46.6
2025-04-15,RJ-JP,35.5,0.0,61.1
2025-04-16,RJ-JP,37.4,2.4,50.6
2025-04-17,RJ-JP,39.1,0.0,33.8
2025-04-18,RJ-JP,41.5,0.0,35.4
2025-04-19,RJ-JP,35.6,0.0,48.5
2025-04-20,RJ-JP,41.8,1.3,57.2
2025-04-21,RJ-JP,35.5,0.0,48.8
2025-04-22,RJ-JP,41.0,0.5,47.2
2025-04-23,RJ-JP,43.1,0.0,34.1
2025-04-24,RJ-JP,44.2,0.0,35.6
2025-04-25,RJ-JP,43.2,0.0,40.2
